Experiment#,GroupR,IndividualR,Concept1,Concept2,ConceptRatio
1,0.9078782,0.7445614,0.12634856834672328,0.07410770439766534,0.5865337879753447
2,0.89955443,0.75174904,0.08127364994505931,0.08037651200478682,0.9889615153142629
3,0.9012198,0.7437578,0.09691815611280657,0.09432746294189776,0.9732692688881388
4,0.89479715,0.7426865,0.0829961745426631,0.07052467513255384,0.8497340452276092
5,0.9083216,0.7444996,0.0956622494142121,0.09260580004108548,0.9680495765901096
6,0.8683721,0.71294224,0.15091823699845067,0.0641984660475594,0.42538574081155256
7,0.9017565,0.7424845,0.07975905390122114,0.09578279212287168,1.2009018091099148
8,0.8574606,0.7100457,0.10606067707924785,0.0734043537203092,0.6920977287884175
9,0.913572,0.74958324,0.10112590061345408,0.07543019908657955,0.745903854788949
10,0.891078,0.7351887,0.12437254467863433,0.06788010974432487,0.5457805009917582
11,0.8927035,0.73379195,0.07242612490740233,0.07425539962365837,1.025257111554633
12,0.9154906,0.73690856,0.35705343769808273,0.07072382949674702,0.19807631583861035
13,0.90149856,0.7581915,0.06569751587457516,0.04709607799973484,0.7168623862376652
14,0.8517316,0.7008436,0.044212400812547445,0.22506071489845253,5.0904431960768
15,0.9020761,0.74267715,0.15724249673240664,0.07964421281939396,0.5065056487555747
16,0.87680143,0.7326384,0.12619208294943446,0.03764776270406474,0.2983369623841641
17,0.8454503,0.7047666,0.06723341650582988,0.043140406843694835,0.6416512663751676
18,0.9089703,0.7610837,0.11275583782546032,0.06290688446569467,0.5579035700401693
19,0.87385005,0.7357343,0.0822321648743496,0.05263448979249501,0.6400718000422375
20,0.89220786,0.7267694,0.10951736468264839,0.09756656040696668,0.8908775397370828
