Experiment#,GroupR,IndividualR,Concept1,Concept2,ConceptRatio
1,0.8927152,0.74918747,0.08308950157607635,0.16995712493339274,2.0454705072190236
2,0.87296045,0.7283293,0.062034571085775966,0.06253626052837988,1.008087255764374
3,0.9140521,0.76306516,0.16250443559364283,0.04524951839641268,0.2784509741602576
4,0.8923656,0.74520946,0.0951709545166931,0.041535535776927646,0.4364307995843655
5,0.8819508,0.7450059,0.12341924638561377,0.01969084869113672,0.15954439253027203
6,0.87904936,0.7370488,0.12738546537122272,0.03161206668559417,0.2481607033696606
7,0.905453,0.76067424,0.12414021158797882,0.03960208623362106,0.31901094518076323
8,0.9214849,0.75094247,0.19743415700392872,0.0760136934529192,0.3850078152961476
9,0.8963048,0.7433993,0.10594890509377194,0.10299411591960488,0.972111187260011
10,0.8873433,0.73756707,0.17935222872298695,0.0865958486707982,0.48282560683729886
11,0.83638626,0.70509446,0.057299589390772177,0.057554967203357586,1.004456887305837
12,0.90491325,0.7489392,0.13246652003953133,0.052963512107092936,0.39982564719966446
13,0.9072612,0.7555772,0.17702058391306716,0.03340275984504515,0.18869421344496792
14,0.8826034,0.7324139,0.1497777401119326,0.05806077203177965,0.38764620155431245
15,0.89572877,0.74234223,0.1922996668270926,0.043110876699140946,0.22418591467401944
16,0.8929258,0.74095404,0.11748761915184365,0.04502806666501445,0.383257972117208
17,0.91326076,0.75436836,0.15086417193540946,0.05359394921189303,0.3552463684673826
18,0.8582437,0.71148294,0.18983861957248074,0.03777052662901967,0.19896123725551434
19,0.8514735,0.70904785,0.13279218186432973,0.04426081266476467,0.3333088743882887
20,0.8455901,0.7058378,0.07921662995395534,0.04537601925988515,0.5728092609627544
