Experiment#,GroupR,IndividualR,Concept1,Concept2,ConceptRatio
1,0.89102846,0.7306385,0.21143858804343738,0.11164340010324825,0.5280180932740268
2,0.8534414,0.70227075,0.08293000444114411,0.0698477181609808,0.8422490584882595
3,0.82857734,0.6935642,0.12801677712421178,0.05706867469747441,0.44579059072938515
4,0.8826579,0.7358183,0.04768025107458521,0.07390820971597512,1.5500801285706751
5,0.89753366,0.7493926,0.10109587903599963,0.04727393358895575,0.46761484285745997
6,0.8858234,0.72783273,0.13416490483645815,0.06882440570377497,0.5129836732465116
7,0.91076887,0.7512189,0.16153411827654784,0.05146968198164101,0.31863040780972635
8,0.89860535,0.7335313,0.08742635924070441,0.062023154344897885,0.7094331147215476
9,0.87057203,0.72404367,0.15151201126762565,0.04013247704022899,0.26487983826800604
10,0.9038161,0.7464494,0.1344085122935081,0.06844470502715769,0.5092289458400884
11,0.9090599,0.752027,0.16222329596863128,0.06306497275407476,0.38875410820323536
12,0.8981718,0.75153136,0.05012088178141809,0.0782887324648352,1.5619983065393737
13,0.91090447,0.7504133,0.10229148960473337,0.058217186210895625,0.5691303004370534
14,0.8866043,0.73374856,0.12626597585220967,0.06845906405191368,0.5421814038965085
15,0.89618224,0.7282671,0.1613493552826457,0.11206357675446449,0.6945399723361506
16,0.8880295,0.7360464,0.04664892550785876,0.07489221868958829,1.6054435954151074
17,0.8922867,0.7326273,0.06789769703026702,0.07472165734473225,1.1005035606940143
18,0.9089959,0.74246967,0.09233229262350096,0.06815941448168528,0.7381969248788798
19,0.88971853,0.7405272,0.0654323310630842,0.05572594033138282,0.8516575739546354
20,0.8085602,0.68226606,0.039149991978389684,0.03724356038614479,0.951304419339416
