Experiment#,GroupR,IndividualR,Concept1,Concept2,ConceptRatio
1,0.8734248,0.7223989,0.12747306683807286,0.017703639326767752,0.13888141052773464
2,0.91334254,0.76048344,0.109841297568044,0.036183054753861695,0.3294121205318717
3,0.8601877,0.6921259,0.07758626910507227,0.016900642369295907,0.21783032699262778
4,0.8452447,0.7107868,0.12614149074893932,0.028653621894231006,0.2271546160117974
5,0.8857988,0.7415322,0.11107482593359597,0.04370470269433961,0.39347081867558054
6,0.9066608,0.7504463,0.10451177970464545,0.050524129360630075,0.48342999711050105
7,0.9140275,0.7637127,0.20425424856173888,0.020824825460345683,0.10195540904037093
8,0.8791365,0.7387749,0.06907212312139585,0.04285677631575253,0.6204641522373759
9,0.9028055,0.76308113,0.187860559378105,0.035229113912393875,0.18752799432204714
10,0.8689796,0.7237964,0.08491214608767245,0.03581375417618975,0.4217742199003164
11,0.87703335,0.7325608,0.07428426784942148,0.04971402878450404,0.6692403415118429
12,0.90487194,0.76587194,0.12567304166702398,0.01399795371422137,0.11138390165895355
13,0.8724446,0.7340515,0.12455950438552382,0.0875017772365779,0.7024897671859014
14,0.89058334,0.7569921,0.15035840179637758,0.018318313048880458,0.12183099068642655
15,0.88187134,0.75477576,0.07546769555625063,0.024687612761977916,0.3271282179747591
16,0.9278194,0.7661898,0.15773807484365554,0.03071080366788281,0.19469493144456265
17,0.8058929,0.68338984,0.06217890069115376,0.03604875276824638,0.5797586056933146
18,0.8919325,0.7569887,0.09906510864336375,0.020113969034848602,0.20303787388210787
19,0.889642,0.7465422,0.11496725730385104,0.018479189319059265,0.16073436691822576
20,0.8670684,0.72495997,0.17851476088588258,0.04847989885210086,0.2715736144816178
