Experiment#,GroupR,IndividualR,Concept1,Concept2,ConceptRatio
1,0.88954747,0.74306625,0.17926648362157643,0.04146232799528635,0.23128878950295848
2,0.868392,0.73075104,0.12830852413475535,0.03966480206810691,0.3091361414651544
3,0.9050646,0.7374316,0.1160598643153403,0.05808351738229024,0.500461703319543
4,0.8690308,0.7365902,0.0691879469809423,0.03101484926388496,0.448269541404776
5,0.90052384,0.7546676,0.0929320143909534,0.05763612495747644,0.6201966602704688
6,0.8383319,0.7032431,0.10409744852566802,0.05367768861648404,0.5156484561026331
7,0.8955183,0.7363703,0.120681698027192,0.07026157268115399,0.5822057016907621
8,0.8874643,0.7358071,0.1279677198834408,0.0317011988595931,0.24772809024391532
9,0.877791,0.73106647,0.11901183559179575,0.02620156781542813,0.22015934537215368
10,0.87590253,0.71803796,0.08398993475623934,0.06305874474709956,0.7507893050531883
11,0.92328143,0.7648159,0.1763806218738864,0.050906236623106824,0.2886158132467931
12,0.9097377,0.75245744,0.13454288059471387,0.08164874005076422,0.606860353292987
13,0.9181711,0.7553192,0.1688673158948964,0.05754063511975911,0.34074465395999187
14,0.8639827,0.7308497,0.07939531823983835,0.03784291977845589,0.47663918499752767
15,0.8850962,0.7404415,0.17807946060285068,0.03213894482770828,0.18047530422042282
16,0.894811,0.75193745,0.10145568528152935,0.04327832008429039,0.4265736312775119
17,0.9189749,0.7532803,0.1793109286216115,0.062393739868308165,0.3479639548349768
18,0.89652777,0.73742026,0.1913197065835322,0.1686687322322069,0.8816066846650967
19,0.8876398,0.73774636,0.1557727468553442,0.04472632237097671,0.2871254649730936
20,0.9108507,0.76083755,0.12713615918847226,0.10341268628646486,0.81340105715449
