Experiment#,GroupR,IndividualR,Concept1,Concept2,ConceptRatio
1,0.8177406,0.6920506,0.06274289658617246,0.031366455616669744,0.4999204264277211
2,0.88544637,0.74239224,0.1097548597625875,0.03872591900604282,0.35284013017566124
3,0.84362984,0.71583205,0.12120590078458432,0.02665963996859641,0.21995331742121865
4,0.83064,0.6931003,0.07527215591888647,0.08668558129721354,1.1516287827683083
5,0.91186255,0.7536068,0.1290501093640884,0.06825650164085206,0.5289147136503415
6,0.92010295,0.7569074,0.2198325880876978,0.046016660779280016,0.20932592924267715
7,0.9008758,0.7491155,0.143141439389864,0.06409380266135156,0.44776553131329005
8,0.84112895,0.70388126,0.14481271154309777,0.05309649086631948,0.3666562852151098
9,0.911557,0.753956,0.22458164688386956,0.0511776432788949,0.2278799002011001
10,0.89716345,0.75509083,0.1016069556385655,0.047504228782870944,0.4675292993902126
11,0.8512787,0.7134679,0.09735938201271127,0.05121083181238611,0.5259979136443164
12,0.90894127,0.7562684,0.16670322503063578,0.0466245546337092,0.279685978631432
13,0.871547,0.7301751,0.07208301725412902,0.07990631666731204,1.1085317972415325
14,0.8892106,0.7450505,0.1642071585049676,0.038119360494086096,0.23214189223628098
15,0.889183,0.74272716,0.12875325029950058,0.03922578650101606,0.3046586118002507
16,0.8454329,0.70700675,0.21796000120872142,0.0440006309373851,0.20187479672130074
17,0.8874548,0.73342997,0.21783653342027,0.07515354858546913,0.3449997454764674
18,0.9099423,0.7536627,0.14214614578900842,0.05089252353247567,0.35802957055210555
19,0.8843573,0.7341903,0.08916819868799714,0.03946214743186324,0.44255853558220654
20,0.9078562,0.744647,0.21550042863369953,0.055263386325256694,0.2564421178910579
