Experiment#,GroupR,IndividualR,Concept1,Concept2,ConceptRatio
1,0.87803274,0.7336891,0.10020854503680053,0.04048729625640205,0.40403037726506774
2,0.906672,0.75373137,0.16910977557240253,0.08106981644487277,0.47939166243032233
3,0.83755386,0.70281446,0.14589793776331056,0.04956932437885813,0.339753427216183
4,0.9018785,0.73815984,0.17864983168981544,0.07860829525554407,0.440013262324419
5,0.8793896,0.71512014,0.14396132294795747,0.10662516312413399,0.7406514537427484
6,0.8907361,0.7407172,0.17158720908605107,0.04060754935367122,0.23665837080726984
7,0.8792853,0.7234707,0.19800469839655963,0.06297770428858436,0.31806166620578846
8,0.8901034,0.74776,0.10098380606065582,0.055053503722217886,0.5451716059221422
9,0.8824086,0.7334625,0.12162775317049314,0.045099249611616224,0.370797358629143
10,0.88298225,0.73714364,0.13203368781692487,0.039735230715142,0.3009476700388618
11,0.87807584,0.7339317,0.16379320763710614,0.051963611848402994,0.31725132316555854
12,0.895559,0.7431246,0.16554573285160593,0.03877486982520598,0.234224520060348
13,0.8818088,0.73250365,0.12483350983257849,0.03446701853132547,0.276103896922799
14,0.8953047,0.7537221,0.14854052716377975,0.03253350963516856,0.21902109987328466
15,0.8696931,0.7199971,0.15785067768954697,0.05451174512506543,0.3453374158600477
16,0.9077338,0.7418342,0.21926731753632175,0.050988020802890985,0.23253817019239445
17,0.88914365,0.73392516,0.2161576072213754,0.06921793974454568,0.3202197722037925
18,0.8774514,0.7328266,0.22124864324188404,0.03201958217797334,0.14472216285171685
19,0.80616426,0.6842794,0.06188072001722679,0.025150843517516425,0.40644070577256947
20,0.8894568,0.74005926,0.08610268943728322,0.07771101492181307,0.9025387642324156
