Experiment#,GroupR,IndividualR,Concept1,Concept2,ConceptRatio
1,0.8786809,0.72456056,0.31061737785603516,0.09465512753172228,0.304732234188111
2,0.9083415,0.76098245,0.18424576104162446,0.033051123638201216,0.17938607353215777
3,0.88186026,0.7418909,0.13655512097994107,0.04389861337180835,0.3214717475022905
4,0.90607774,0.7564869,0.1079816040264058,0.042687752808443155,0.3953243072588948
5,0.8644586,0.7325423,0.09471910017841655,0.020262829606479314,0.21392548671082673
6,0.9001928,0.7405014,0.23024506415184023,0.04939870318912279,0.21454836989055154
7,0.90577424,0.74189633,0.13695417867954413,0.05910518434691937,0.43156904679205305
8,0.8758972,0.7221728,0.16626592664749568,0.0845001900741396,0.5082231325320818
9,0.82822335,0.6891219,0.1198449585513916,0.05072399693123561,0.4232468144205188
10,0.8949641,0.75289655,0.15027223003170298,0.06317083585316766,0.4203759792467343
11,0.9071038,0.7537316,0.15448444385391874,0.04689671967122858,0.30356920413018645
12,0.9090806,0.76098996,0.10998900160149724,0.04068819637472475,0.3699296818980387
13,0.9211948,0.7554325,0.14224428471870185,0.07165650292708428,0.5037566399858532
14,0.8655736,0.7294494,0.08450839209203104,0.03140446209702896,0.3716135323321379
15,0.82821804,0.69372106,0.12198214171472627,0.05057867186969791,0.41463997236565825
16,0.92044485,0.7611924,0.2480499570779719,0.056724577383027316,0.22868206893176984
17,0.8825856,0.7286031,0.2135615021039223,0.08399660954713828,0.3933134423556557
18,0.87979513,0.7273377,0.2936749176965599,0.03899307466389321,0.1327763193729158
19,0.88432974,0.73139006,0.20600558799265672,0.07232739261745115,0.3510943238104266
20,0.91405475,0.75866,0.14020836800358688,0.05574508984456609,0.3975874666991345
